,Destination,Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
97,DK,Other non-ferrous metal products,Secondary,49,0.179,0.162,5.593,0.357,0.612,0.782,2.238,0.575,9.37,0.0
98,DK,Precious metals,Secondary,49,0.123,0.104,8.162,0.291,0.469,0.611,2.625,0.675,13.806,0.0
99,DK,Aluminium ores and concentrates,Primary,19,0.119,0.07,8.423,0.193,0.485,0.701,2.311,0.785,10.086,0.0
100,DK,Copper ores and concentrates,Primary,27,0.304,0.278,3.284,0.37,0.944,0.975,1.355,0.411,3.876,0.0
101,DK,"Lead, zinc and tin ores and concentrates",Primary,31,0.461,0.443,2.171,0.666,0.819,0.9,1.375,0.4,3.955,0.0
102,DK,Nickel ores and concentrates,Primary,23,0.2,0.163,5.006,0.303,0.72,0.875,1.884,0.601,6.577,0.0
103,DK,Other non-ferrous metal ores and concentrates,Primary,35,0.262,0.241,3.813,0.486,0.654,0.759,2.01,0.565,7.463,0.0
104,DK,Precious metal ores and concentrates,Primary,29,0.125,0.094,8.0,0.215,0.53,0.727,2.35,0.698,10.486,0.0
105,EE,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.163,0.139,6.126,0.248,0.629,0.798,2.201,0.614,9.032,0.0
106,EE,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.094,0.075,10.68,0.216,0.458,0.586,2.875,0.739,17.726,0.008
107,EE,Machinery and equipment n.e.c. (29),Tertiary,31,0.201,0.175,4.968,0.374,0.653,0.83,2.028,0.591,7.6,0.01
108,EE,Aluminium and aluminium products,Secondary,49,0.144,0.126,6.95,0.326,0.551,0.631,2.663,0.684,14.345,0.004
109,EE,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.11,0.091,9.13,0.252,0.489,0.619,2.746,0.706,15.584,0.002
110,EE,Copper products,Secondary,49,0.075,0.056,13.279,0.142,0.37,0.516,2.894,0.744,18.069,0.001
111,EE,"Lead, zinc and tin and products thereof",Secondary,49,0.404,0.391,2.478,0.626,0.75,0.804,1.747,0.449,5.74,0.001
112,EE,Other non-ferrous metal products,Secondary,49,0.327,0.313,3.062,0.549,0.723,0.781,1.879,0.483,6.549,0.01
113,EE,Precious metals,Secondary,49,0.142,0.124,7.06,0.331,0.502,0.63,2.583,0.664,13.234,0.0
114,EE,Aluminium ores and concentrates,Primary,19,0.141,0.093,7.112,0.249,0.557,0.751,2.218,0.753,9.186,0.0
115,EE,Copper ores and concentrates,Primary,27,0.441,0.42,2.265,0.639,0.855,0.935,1.302,0.395,3.678,0.0
116,EE,"Lead, zinc and tin ores and concentrates",Primary,31,0.192,0.165,5.213,0.334,0.704,0.819,2.04,0.594,7.69,0.0
117,EE,Nickel ores and concentrates,Primary,23,0.876,0.87,1.142,0.935,0.979,0.987,0.349,0.111,1.418,0.0
118,EE,Other non-ferrous metal ores and concentrates,Primary,35,0.108,0.082,9.217,0.212,0.483,0.649,2.539,0.714,12.668,0.0
119,EE,Precious metal ores and concentrates,Primary,29,0.704,0.693,1.421,0.837,0.91,0.95,0.809,0.24,2.246,0.0
120,ES,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.369,0.351,2.712,0.57,0.842,0.894,1.545,0.431,4.688,0.57
121,ES,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.093,0.074,10.751,0.198,0.438,0.579,2.759,0.709,15.787,0.198
122,ES,Machinery and equipment n.e.c. (29),Tertiary,31,0.17,0.143,5.872,0.236,0.672,0.849,2.058,0.599,7.831,0.236
123,ES,Aluminium and aluminium products,Secondary,49,0.458,0.447,2.181,0.668,0.803,0.854,1.517,0.39,4.557,0.668
124,ES,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.331,0.317,3.019,0.558,0.713,0.788,1.884,0.484,6.578,0.558
125,ES,Copper products,Secondary,49,0.122,0.104,8.189,0.221,0.545,0.66,2.527,0.649,12.521,0.221
126,ES,"Lead, zinc and tin and products thereof",Secondary,49,0.573,0.564,1.747,0.75,0.873,0.9,1.176,0.302,3.243,0.092
127,ES,Other non-ferrous metal products,Secondary,49,0.111,0.092,9.015,0.215,0.511,0.647,2.616,0.672,13.684,0.175
128,ES,Precious metals,Secondary,49,0.105,0.086,9.529,0.255,0.422,0.56,2.703,0.695,14.93,0.064
129,ES,Aluminium ores and concentrates,Primary,19,0.148,0.1,6.768,0.252,0.542,0.781,2.108,0.716,8.236,0.0
130,ES,Copper ores and concentrates,Primary,27,0.965,0.964,1.036,0.982,0.994,0.997,0.118,0.036,1.126,0.982
131,ES,"Lead, zinc and tin ores and concentrates",Primary,31,0.667,0.656,1.498,0.806,0.953,0.974,0.758,0.221,2.134,0.806
132,ES,Nickel ores and concentrates,Primary,23,0.162,0.124,6.169,0.234,0.632,0.84,2.041,0.651,7.695,0.119
133,ES,Other non-ferrous metal ores and concentrates,Primary,35,0.35,0.331,2.856,0.576,0.713,0.814,1.762,0.496,5.826,0.576
134,ES,Precious metal ores and concentrates,Primary,29,0.833,0.827,1.2,0.912,0.961,0.975,0.485,0.144,1.625,0.912
135,FI,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.264,0.243,3.781,0.46,0.749,0.865,1.848,0.516,6.35,0.0
136,FI,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.092,0.074,10.821,0.149,0.437,0.62,2.737,0.703,15.447,0.149
137,FI,Machinery and equipment n.e.c. (29),Tertiary,31,0.398,0.378,2.512,0.605,0.827,0.931,1.439,0.419,4.218,0.605
138,FI,Aluminium and aluminium products,Secondary,49,0.251,0.236,3.981,0.352,0.76,0.828,1.972,0.507,7.188,0.345
139,FI,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.429,0.417,2.333,0.643,0.776,0.842,1.602,0.412,4.962,0.643
140,FI,Copper products,Secondary,49,0.137,0.119,7.284,0.274,0.555,0.708,2.469,0.635,11.815,0.274
141,FI,"Lead, zinc and tin and products thereof",Secondary,49,0.458,0.447,2.182,0.665,0.827,0.884,1.429,0.367,4.173,0.037
142,FI,Other non-ferrous metal products,Secondary,49,0.587,0.578,1.705,0.755,0.906,0.94,1.03,0.265,2.8,0.755
143,FI,Precious metals,Secondary,49,0.406,0.394,2.461,0.621,0.793,0.879,1.573,0.404,4.819,0.05
144,FI,Aluminium ores and concentrates,Primary,19,0.151,0.104,6.624,0.225,0.574,0.817,2.105,0.715,8.21,0.0
145,FI,Copper ores and concentrates,Primary,27,0.403,0.38,2.482,0.561,0.898,0.944,1.275,0.387,3.579,0.561
146,FI,"Lead, zinc and tin ores and concentrates",Primary,31,0.781,0.774,1.281,0.883,0.926,0.952,0.642,0.187,1.9,0.883
147,FI,Nickel ores and concentrates,Primary,23,0.993,0.993,1.007,0.997,0.998,0.999,0.03,0.009,1.03,0.997
148,FI,Other non-ferrous metal ores and concentrates,Primary,35,0.488,0.473,2.048,0.69,0.824,0.878,1.389,0.391,4.01,0.69
149,FI,Precious metal ores and concentrates,Primary,29,0.972,0.971,1.029,0.986,0.992,0.996,0.106,0.032,1.112,0.986
150,FR,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.189,0.166,5.287,0.34,0.666,0.788,2.156,0.602,8.637,0.101
151,FR,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.1,0.081,10.042,0.187,0.455,0.648,2.687,0.69,14.681,0.187
152,FR,Machinery and equipment n.e.c. (29),Tertiary,31,0.224,0.199,4.457,0.319,0.779,0.886,1.84,0.536,6.299,0.319
153,FR,Aluminium and aluminium products,Secondary,49,0.416,0.404,2.402,0.635,0.757,0.83,1.631,0.419,5.11,0.635
154,FR,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.383,0.37,2.609,0.607,0.74,0.812,1.748,0.449,5.744,0.607
155,FR,Copper products,Secondary,49,0.135,0.117,7.417,0.323,0.471,0.587,2.62,0.673,13.738,0.323
